"Daily","Daily Storage (Selected Period)"
"2010-01-01",6.17
"2010-01-02",6.17
"2010-01-03",6.15
"2010-01-04",6.14
"2010-01-05",6.12
"2010-01-06",6.11
"2010-01-07",6.1
"2010-01-08",6.08
"2010-01-09",6.08
"2010-01-10",6.07
"2010-01-11",6.05
"2010-01-12",6.05
"2010-01-13",6.02
"2010-01-14",6.01
"2010-01-15",6
"2010-01-16",5.98
"2010-01-17",5.96
"2010-01-18",5.93
"2010-01-19",5.93
"2010-01-20",5.91
"2010-01-21",5.89
"2010-01-22",5.88
"2010-01-23",5.85
"2010-01-24",5.84
"2010-01-25",5.83
"2010-01-26",5.81
"2010-01-27",5.8
"2010-01-28",5.78
"2010-01-29",5.76
"2010-01-30",5.74
"2010-01-31",5.74
"2010-02-01",5.7
"2010-02-02",5.68
"2010-02-03",5.66
"2010-02-04",5.64
"2010-02-05",5.61
"2010-02-06",5.57
"2010-02-07",5.54
"2010-02-08",5.52
"2010-02-09",5.5
"2010-02-10",5.48
"2010-02-11",5.6
"2010-02-12",5.42
"2010-02-13",5.39
"2010-02-14",5.36
"2010-02-15",5.34
"2010-02-16",5.31
"2010-02-17",5.29
"2010-02-18",5.26
"2010-02-19",5.2
"2010-02-20",5.19
"2010-02-21",5.17
"2010-02-22",5.15
"2010-02-23",5.13
"2010-02-24",5.11
"2010-02-25",5.1
"2010-02-26",5.08
"2010-02-27",5.06
"2010-02-28",5.04
"2010-03-01",5.01
"2010-03-02",5
"2010-03-03",4.98
"2010-03-04",4.98
"2010-03-05",4.92
"2010-03-06",4.87
"2010-03-07",4.85
"2010-03-08",4.84
"2010-03-09",4.8
"2010-03-10",4.76
"2010-03-11",4.73
"2010-03-12",4.69
"2010-03-13",4.66
"2010-03-14",4.62
"2010-03-15",4.59
"2010-03-16",4.55
"2010-03-17",4.52
"2010-03-18",4.49
"2010-03-19",4.54
"2010-03-20",4.42
"2010-03-21",4.38
"2010-03-22",4.35
"2010-03-23",4.31
"2010-03-24",4.26
"2010-03-25",4.21
"2010-03-26",4.17
"2010-03-27",4.14
"2010-03-28",4.1
"2010-03-29",4.07
"2010-03-30",4.04
"2010-03-31",4.01
"2010-04-01",3.98
"2010-04-02",3.94
"2010-04-03",3.91
"2010-04-04",3.88
"2010-04-05",3.56
"2010-04-06",3.83
"2010-04-07",3.8
"2010-04-08",3.76
"2010-04-09",3.76
"2010-04-10",3.75
"2010-04-11",3.65
"2010-04-12",3.61
"2010-04-13",3.59
"2010-04-14",3.55
"2010-04-15",3.59
"2010-04-16",3.49
"2010-04-17",3.45
"2010-04-18",3.42
"2010-04-19",3.44
"2010-04-20",3.43
"2010-04-21",3.32
"2010-04-22",3.28
"2010-04-23",3.26
"2010-04-24",3.23
"2010-04-25",3.19
"2010-04-26",3.16
"2010-04-27",3.13
"2010-04-28",3.09
"2010-04-29",3.04
"2010-04-30",2.98
"2010-05-01",2.94
"2010-05-02",3
"2010-05-03",2.87
"2010-05-04",2.8
"2010-05-05",2.76
"2010-05-06",2.68
"2010-05-07",2.67
"2010-05-08",2.63
"2010-05-09",2.6
"2010-05-10",2.56
"2010-05-11",2.55
"2010-05-12",2.5
"2010-05-13",2.48
"2010-05-14",2.46
"2010-05-15",2.44
"2010-05-16",2.42
"2010-05-17",2.39
"2010-05-18",2.37
"2010-05-19",2.33
"2010-05-20",2.31
"2010-05-21",2.28
"2010-05-22",2.27
"2010-05-23",2.22
"2010-05-24",2.22
"2010-05-25",2.22
"2010-05-26",2.22
"2010-05-27",2.21
"2010-05-28",2.21
"2010-05-29",2.21
"2010-05-30",2.2
"2010-05-31",2.2
"2010-06-01",1.9
"2010-06-02",1.9
"2010-06-03",1.89
"2010-06-04",1.89
"2010-06-05",1.89
"2010-06-06",1.88
"2010-06-07",1.88
"2010-06-08",1.88
"2010-06-09",1.87
"2010-06-10",1.87
"2010-06-11",1.86
"2010-06-12",1.86
"2010-06-13",1.86
"2010-06-14",1.86
"2010-06-15",1.57
"2010-06-16",1.55
"2010-06-17",1.53
"2010-06-18",1.52
"2010-06-19",1.52
"2010-06-20",1.47
"2010-06-21",1.44
"2010-06-22",1.42
"2010-06-23",1.4
"2010-06-24",1.4
"2010-06-25",1.4
"2010-06-26",1.4
"2010-06-27",1.39
"2010-06-28",1.45
"2010-06-29",1.45
"2010-06-30",1.44
"2010-07-01",1.44
"2010-07-02",1.44
"2010-07-03",1.44
"2010-07-04",1.45
"2010-07-05",1.45
"2010-07-06",1.44
"2010-07-07",1.45
"2010-07-08",1.45
"2010-07-09",1.45
"2010-07-10",1.45
"2010-07-11",1.52
"2010-07-12",1.6
"2010-07-13",1.66
"2010-07-14",1.67
"2010-07-15",1.72
"2010-07-16",1.84
"2010-07-17",1.85
"2010-07-18",1.85
"2010-07-19",2.23
"2010-07-20",2.19
"2010-07-21",2.19
"2010-07-22",2.23
"2010-07-23",2.24
"2010-07-24",2.24
"2010-07-25",2.32
"2010-07-26",2.39
"2010-07-27",3.34
"2010-07-28",3.37
"2010-07-29",3.41
"2010-07-30",3.42
"2010-07-31",3.44
"2010-08-01",4.12
"2010-08-02",4.13
"2010-08-03",4.17
"2010-08-04",4.23
"2010-08-05",4.24
"2010-08-06",4.33
"2010-08-07",4.54
"2010-08-08",4.64
"2010-08-09",4.65
"2010-08-10",4.07
"2010-08-11",4.08
"2010-08-12",4.08
"2010-08-13",4.08
"2010-08-14",4.09
"2010-08-15",4.1
"2010-08-16",4.08
"2010-08-17",4.08
"2010-08-18",4.07
"2010-08-19",4.08
"2010-08-20",4.11
"2010-08-21",4.14
"2010-08-22",4.17
"2010-08-23",4.18
"2010-08-24",4.85
"2010-08-25",4.86
"2010-08-26",4.86
"2010-08-27",4.85
"2010-08-28",4.84
"2010-08-29",5.13
"2010-08-30",5.13
"2010-08-31",5.14
"2010-09-01",5.13
"2010-09-02",5.14
"2010-09-03",5.24
"2010-09-04",5.36
"2010-09-05",5.5
"2010-09-06",5.65
"2010-09-07",5.85
"2010-09-08",5.93
"2010-09-09",6.41
"2010-09-10",6.87
"2010-09-11",7.28
"2010-09-12",7.51
"2010-09-13",7.57
"2010-09-14",7.68
"2010-09-15",7.7
"2010-09-16",7.71
"2010-09-17",7.73
"2010-09-18",7.76
"2010-09-19",7.79
"2010-09-20",7.85
"2010-09-21",7.91
"2010-09-22",7.93
"2010-09-23",7.94
"2010-09-24",7.94
"2010-09-25",7.93
"2010-09-26",7.93
"2010-09-27",7.92
"2010-09-28",8.13
"2010-09-29",8.12
"2010-09-30",8.11
"2010-10-01",7.88
"2010-10-02",7.86
"2010-10-03",7.84
"2010-10-04",7.81
"2010-10-05",7.78
"2010-10-06",7.75
"2010-10-07",7.75
"2010-10-08",7.74
"2010-10-09",7.71
"2010-10-10",7.69
"2010-10-11",7.67
"2010-10-12",7.64
"2010-10-13",7.56
"2010-10-14",7.53
"2010-10-15",7.5
"2010-10-16",7.47
"2010-10-17",7.46
"2010-10-18",7.23
"2010-10-19",7.22
"2010-10-20",7.21
"2010-10-21",7.2
"2010-10-22",7.19
"2010-10-23",7.19
"2010-10-24",7.21
"2010-10-25",7.21
"2010-10-26",7.21
"2010-10-27",7.4
"2010-10-28",7.39
"2010-10-29",7.39
"2010-10-30",7.39
"2010-10-31",7.39
"2010-11-01",7.47
"2010-11-02",7.47
"2010-11-03",7.47
"2010-11-04",7.47
"2010-11-05",7.47
"2010-11-06",7.47
"2010-11-07",7.49
"2010-11-08",7.49
"2010-11-09",7.5
"2010-11-10",7.51
"2010-11-11",7.51
"2010-11-12",7.51
"2010-11-13",7.51
"2010-11-14",7.51
"2010-11-15",7.53
"2010-11-16",7.54
"2010-11-17",7.54
"2010-11-18",7.54
"2010-11-19",7.61
"2010-11-20",7.54
"2010-11-21",7.61
"2010-11-22",7.61
"2010-11-23",7.54
"2010-11-24",7.53
"2010-11-25",7.53
"2010-11-26",7.52
"2010-11-27",7.52
"2010-11-28",7.52
"2010-11-29",7.51
"2010-11-30",7.51
"2010-12-01",7.5
"2010-12-02",7.49
"2010-12-03",7.44
"2010-12-04",7.47
"2010-12-05",7.46
"2010-12-06",7.46
"2010-12-07",7.44
"2010-12-08",7.44
"2010-12-09",7.44
"2010-12-10",7.44
